1,2016/03/09:04:50:23,finished,    7034 Fairview Ave.,1
2,2016/04/04:09:32:28,finished,"    Corpus Christi, TX 78418",2
3,2015/08/01:05:59:34,finished,    9277 Yukon St.,3
4,2015/08/13:10:27:31,finished,"    Alliance, OH 44601",4
5,2016/01/17:05:59:32,finished,    48 Jones St.,5
6,2015/08/12:08:00:05,finished,"    Manchester, NH 03102",6
7,2015/02/14:06:53:02,finished,    2 Clark Dr.,7
8,2015/02/25:03:05:03,finished,"    Adrian, MI 49221",8
9,2016/01/13:03:18:01,finished,    50 Lafayette Drive,9
10,2016/02/02:10:48:23,finished,"    Beckley, WV 25801",10
11,2015/12/04:07:07:07,finished,    7 Homewood Lane,11
12,2015/08/18:05:48:52,finished,"    Fernandina Beach, FL 32034",12
13,2016/03/30:07:57:16,finished,    70 Central St.,13
14,2015/11/14:09:29:51,finished,"    Rego Park, NY 11374",14
15,2015/08/23:11:32:54,finished,    15 E. Newbridge Road,15
16,2015/08/09:08:33:15,finished,"    Olney, MD 20832",16
17,2016/04/28:03:29:04,finished,    797 Glendale Lane,17
18,2016/04/27:02:06:25,finished,"    South Portland, ME 04106",18
19,2016/04/15:11:29:18,finished,    78 Wentworth St.,19
20,2015/02/28:07:49:32,finished,"    Lexington, NC 27292",20
21,2016/04/05:09:24:40,finished,    858 East Proctor St.,21
22,2015/09/09:11:55:47,finished,"    Summerville, SC 29483",22
23,2016/03/01:10:23:49,finished,    369 Lookout St.,23
24,2015/07/02:01:25:32,finished,"    Miami Gardens, FL 33056",24
25,2015/09/21:06:48:00,finished,    9103 North Gregory Street,25
26,2015/10/20:01:09:45,finished,"    Emporia, KS 66801",26
27,2016/03/23:03:51:58,finished,    31 Broad Dr.,27
28,2015/10/22:08:29:57,finished,"    Stone Mountain, GA 30083",28
29,2015/03/15:08:52:33,finished,    487 NW. Bradford Lane,29
30,2015/10/29:07:39:53,finished,"    Rochester, NY 14606",30
31,2015/04/19:06:07:04,finished,    967 N. South Drive,31
32,2015/08/07:09:42:13,finished,"    Anoka, MN 55303",32
33,2016/02/08:01:43:49,finished,    25 Walnutwood Street,33
34,2016/04/13:12:41:28,finished,"    Monroe, NY 10950",34
35,2016/05/30:10:15:25,finished,    524 West Somerset St.,35
36,2015/06/24:11:21:46,finished,"    Soddy Daisy, TN 37379",36
37,2015/10/28:02:58:37,finished,    385 Park St.,37
38,2015/09/19:11:33:24,finished,"    Snohomish, WA 98290",38
39,2016/01/20:03:00:10,finished,    8239 Hilltop Dr.,39
40,2016/05/12:07:42:35,finished,"    San Pablo, CA 94806",40
41,2015/12/29:02:34:08,finished,    275 Jackson St.,41
42,2015/08/27:02:32:45,finished,"    Bemidji, MN 56601",42
43,2016/02/11:07:26:29,finished,    347 Cooper St.,43
44,2015/12/13:10:15:02,finished,"    Lithonia, GA 30038",44
45,2016/02/25:04:55:25,finished,    3 Valley Drive,45
46,2016/04/15:09:46:40,finished,"    Reynoldsburg, OH 43068",46
47,2016/04/25:05:32:43,finished,    76 Airport Street,47
48,2015/12/26:10:26:32,finished,"    Howard Beach, NY 11414",48
49,2016/01/12:03:12:52,finished,    8646 Beach Dr.,49
50,2016/03/17:03:44:18,finished,"    Port Washington, NY 11050",50
51,2015/10/14:10:58:43,finished,    38 Riverside Dr.,51
52,2015/11/16:07:43:29,finished,"    Marietta, GA 30008",52
53,2015/12/08:12:24:50,finished,    60 Princess St.,53
54,2015/08/18:08:30:44,finished,"    Richardson, TX 75080",54
55,2015/09/30:06:29:25,finished,    74 S. Carriage St.,55
56,2015/07/25:12:10:16,finished,"    Appleton, WI 54911",56
57,2016/02/06:01:12:15,finished,    7695 Longbranch Road,57
58,2015/02/13:07:09:18,finished,"    Brandon, FL 33510",58
59,2015/03/10:01:27:14,finished,    793 Arcadia Rd.,59
60,2015/09/17:12:52:32,finished,"    Nazareth, PA 18064",60
61,2016/01/07:12:43:46,finished,    11 Wakehurst St.,61
62,2015/03/25:06:43:26,finished,"    Homestead, FL 33030",62
63,2015/09/20:08:09:56,finished,    622 Rockledge Road,63
64,2015/06/23:05:54:01,finished,"    Venice, FL 34293",64
65,2015/11/17:05:48:52,finished,    9673 Harvard Dr.,65
66,2016/03/25:01:33:01,finished,"    Encino, CA 91316",66
67,2016/04/15:03:44:30,finished,    37 Fordham Street,67
68,2016/01/31:07:11:29,finished,"    Hobart, IN 46342",68
69,2015/04/02:01:47:50,finished,    6 Brandywine Street,69
70,2016/02/20:07:30:34,finished,"    Barberton, OH 44203",70
71,2015/11/19:02:22:08,finished,    11 Beaver Ridge Rd.,71
72,2016/05/29:09:43:04,finished,"    Bemidji, MN 56601",72
73,2016/02/03:06:29:59,finished,    31 North Big Rock Cove Lane,73
74,2016/03/12:09:55:49,finished,"    Ormond Beach, FL 32174",74
75,2015/11/21:10:25:39,finished,    153 Creek Court,75
76,2015/10/08:10:54:58,finished,"    Windsor, CT 06095",76
77,2016/02/26:07:37:52,finished,    7 W. Shipley Street,77
78,2015/10/29:02:56:29,finished,"    Oxford, MS 38655",78
79,2016/05/02:10:12:16,finished,    7 Roberts Street,79
80,2016/04/21:01:55:02,finished,"    Savannah, GA 31404",80
81,2016/03/10:02:29:09,finished,    7354 Cedar Swamp St.,81
82,2016/03/26:09:32:06,finished,"    Homestead, FL 33030",82
83,2015/10/07:05:54:11,finished,    974 Marlborough Road,83
84,2015/04/14:10:01:10,finished,"    Saugus, MA 01906",84
85,2015/02/05:12:09:42,finished,    550 West Tower Ave.,85
86,2015/03/13:02:53:45,finished,"    Fayetteville, NC 28303",86
87,2016/05/01:02:18:04,finished,    8823 Gates Dr.,87
88,2016/05/04:06:23:26,finished,"    Hollywood, FL 33020",88
89,2016/03/20:07:14:29,finished,    43 Marshall St.,89
90,2015/11/29:05:47:02,finished,"    Winchester, VA 22601",90
91,2015/09/28:06:24:14,finished,    21 Summer Dr.,91
92,2015/10/23:04:26:46,finished,"    Odenton, MD 21113",92
93,2015/12/17:02:57:15,finished,    958 North Forest St.,93
94,2015/06/04:08:06:27,finished,"    Bay City, MI 48706",94
95,2016/02/09:02:01:26,finished,    133 NE. Pulaski Lane,95
96,2015/04/28:02:10:08,finished,"    Louisville, KY 40207",96
97,2016/04/28:11:16:46,finished,    7914 Ryan St.,97
98,2015/08/21:09:15:34,finished,"    Lakeville, MN 55044",98
99,2015/08/18:06:15:56,finished,    9424 Glenholme Drive,99
100,2015/12/16:01:59:34,finished,"    Carpentersville, IL 60110",100
101,2016/02/22:10:19:59,finished,    2 Augusta Lane,101
102,2016/04/08:07:51:39,finished,"    Fort Lauderdale, FL 33308",102
103,2016/03/08:04:47:48,finished,    312 Jefferson St.,103
104,2015/07/23:06:20:51,finished,"    Winston Salem, NC 27103",104
105,2015/04/28:02:06:10,finished,    872 West Sussex St.,105
106,2015/11/25:05:16:43,finished,"    West Des Moines, IA 50265",106
107,2015/05/27:05:58:36,finished,    941 N. Highland St.,107
108,2016/04/17:10:37:56,finished,"    Auburndale, FL 33823",108
109,2015/02/15:10:06:19,finished,    254 Pheasant Ave.,109
110,2016/01/14:09:31:53,finished,"    Noblesville, IN 46060",110
111,2015/07/06:08:39:33,finished,    9850 Grand Lane,111
